Date             EastStorage    EastElevation    WestStorage    WestElevation
01/01/2018          59.94           574             32.67           574.33
01/02/2018          59.89           573.99          32.57           574.29
01/03/2018          59.89           573.97          32.44           574.24
01/04/2018          59.9            573.97          32.22           574.07
01/05/2018          59.94           574             32.67           574.33
01/06/2018          59.89           573.99          32.57           574.20
01/07/2018          59.89           573.97          32.44           574.24
01/08/2018          59.9            573.97          32.22           574.07
01/09/2018          59.94           574             32.67           573.33
01/10/2018          59.89           573.99          32.57           572.29
01/11/2018          59.89           573.97          32.44           574.24
01/12/2018          59.9            573.97          32.22           571.07
01/13/2018          59.94           574             32.67           570.33
01/14/2018          59.89           573.99          32.57           577.29
01/15/2018          59.89           573.97          32.44           578.24
01/16/2018          59.9            573.97          32.22           579.07
01/17/2018          59.94           574             32.67           574.33
01/18/2018          59.89           573.99          32.57           570.29
01/19/2018          59.89           573.97          32.44           574.24
01/20/2018          59.9            573.97          32.22           571.07
